"","Arena","Arcilla","Limo","pH","MO","Al","B","Ca","CICE","Cu","Fe","K","Mg","Mn","P","S","Zn"
"1",0.24,0.22,0.54,6.9,2.2,0,0.3,20,24.1,2,16,0.5,3.6,1,34,9,1
"2",0.56,0.12,0.32,6.6,0.56,0,0.3,14,17.1,2,13,0.3,2.8,1,31,8,1
"3",0.46,0.14,0.4,6.9,1.2,0,0.3,16,19,2,8,0.3,2.7,2,34,11,1
"4",0.28,0.24,0.48,6.8,2.3,0,0.3,19,23.4,3,15,0.4,4,3,36,14,1
"5",0.22,0.26,0.52,6.9,1.6,0,0.3,17,20.6,4,20,0.3,3.3,3,40,10,1
"6",0.18,0.34,0.48,6.8,2.5,0,0.4,20,25.3,4,24,0.9,4.4,3,37,20,1
"7",0.18,0.32,0.5,6.7,2.8,0,0.5,19,24.1,5,28,0.5,4.6,3,40,11,1
"8",0.2,0.42,0.38,6.7,2.3,0,0.4,21,26.4,4,31,0.7,4.7,1,45,12,1
"9",0.16,0.46,0.38,6.7,3.2,0,0.4,23,29.1,5,31,0.7,5.4,3,41,11,1
"10",0.12,0.54,0.34,7,2,0,0.3,20,24.8,4,28,0.4,4.4,3,37,11,1
"11",0.28,0.36,0.36,6.6,2.5,0,0.3,22,26.8,5,34,0.6,4.2,5,42,10,2
"12",0.16,0.38,0.46,6.6,2.3,0,0.3,20,25.3,5,39,0.5,4.8,4,43,16,2
"13",0.38,0.32,0.3,6.5,2.6,0,0.4,26,30.9,4,33,0.5,4.4,5,43,14,1
"14",0.22,0.38,0.4,6.9,2.9,0,0.5,23,29.1,5,26,0.5,5.6,5,41,16,1
"15",0.32,0.34,0.34,6.4,2.5,0,0.3,26,31.2,5,50,0.7,4.5,5,46,14,1
"16",0.22,0.3,0.48,6.8,2,0,0.4,22,27.1,3,26,41,4.6,3,44,12,2
"17",0.26,0.26,0.48,6.7,1.8,0,0.3,17,21,6,67,0.3,3.7,12,27,17,1
"18",0.1,0.58,0.32,6.2,2.8,0,0.4,22,30,5,50,0.5,7.5,6,30,11,1
"19",0.12,0.56,0.32,6.1,2.6,0,0.4,24,31.5,5,41,0.6,6.9,9,26,10,1
"20",0.12,0.66,0.22,5.9,3.2,0,0.4,24,31.5,5,50,0.6,6.9,8,25,8,1
"21",0.14,0.62,0.24,6,3,0,0.4,26,34.9,5,62,0.8,8.1,7,24,13,1
"22",0.32,0.32,0.36,6.1,2.2,0,0.3,26,33.9,3,43,0.7,7.2,8,15,10,1
"23",0.26,0.4,0.34,6.7,2.6,0,0.3,25,33.7,4,42,0.7,8,6,25,7,1
"24",0.32,0.36,0.32,6.1,2.5,0,0.4,19,24.7,4,64,0.4,5.3,7,25,13,1
"25",0.44,0.3,0.26,6.2,2.8,0,0.4,22,30.3,4,55,0.6,7.7,5,23,12,1
"26",0.22,0.36,0.42,5.9,2,0,0.4,23,30.5,4,45,0.5,7,5,21,9,2
"27",0.2,0.48,0.32,6.8,2.3,0,0.3,25,32.7,2,67,0.6,7.1,10,32,11,3
"28",0.16,0.56,0.28,6.3,2.9,0,0.4,27,35.8,5,78,0.7,8.1,12,40,12,2
"29",0.22,0.42,0.36,6.5,2.8,0,0.3,23,29.4,8,56,0.5,5.9,14,13,8,1
"30",0.14,0.46,0.4,5.7,1.9,0,0.3,25,31.7,4,45,0.4,6.3,9,30,14,2
"31",0,0,0,5.2,1.2,1.3,0.4,12,18.2,2,31,0.3,4.6,4,17,9,1
"32",0,0,0,5.6,2,0,0.5,22,30.3,2,24,0.4,7.9,4,13,8,1
"33",0,0,0,5.6,2,0,0.4,21,29.2,2,20,0.3,7.9,4,12,10,1
"34",0,0,0,5.4,1.7,0.5,0.4,21,29.9,3,21,0.3,8.1,5,12,7,1
"35",0,0,0,5.4,1.9,0.3,0.4,25,33.2,4,31,0.4,7.5,6,15,9,1
"36",0,0,0,5.1,2.5,0.8,0.5,26,36.8,4,36,0.7,9.3,7,17,10,1
"37",0,0,0,6,3.3,0,0.5,23,33.6,5,20,0.6,10,5,20,10,1
