"lote_evaluado","lotes_cercanos","distancias","ord_cercania","Arena","Arcilla","Limo","pH","MO","Al","B","Ca","CICE","Cu","Fe","K","Mg","Mn","P","S","Zn"
"1","1",0,0,0.24,0.22,0.54,6.9,2.2,0,0.3,20,24.1,2,16,0.5,3.6,1,34,9,1
"1","389",0.154821510162313,1,0.18,0.52,0.3,6.2,2.5,0,0.4,23,28.8,2.7,55,0.5,5.3,9,12,9,1
"1","60",0.158062573986157,2,0.22,0.52,0.26,5.8,2.1,0,0.2,24,31.7,4,40,0.6,7.1,5,22,11,1
"1","1474",0.158930200225896,3,0.16,0.6,0.24,6.2,2.2,0,0.6,19.7,30.8,8,57,0.82,10.2,7,16,5,2
"1","852",0.161314240767116,4,0.14,0.58,0.28,5.7,2.2,0,0.8,19.1,28.3,6,59,0.58,8.6,8,17,4,2
"1","51",0.165926295585255,5,0.22,0.5,0.28,5.8,2.4,0,0.4,24,31.4,3,48,0.8,6.6,4,21,12,1
"2","2",0,0,0.56,0.12,0.32,6.6,0.56,0,0.3,14,17.1,2,13,0.3,2.8,1,31,8,1
"2","211",0.102691634196586,1,0.2,0.46,0.34,5.7,1.7,0,0.2,18,24.7,2,41,0.57,6.1,5,14,5,1
"2","210",0.116054996431898,2,0.2,0.46,0.34,5.9,1.8,0,0.3,19,25.5,2,41,0.7,5.8,6,10,6,1
"2","445",0.144862258727036,3,0.2,0.5,0.3,6,2.1,0,0.21,15.5,23.5,5,51,0.63,7.4,5,17,8,2
"2","616",0.149224965140089,4,0.16,0.46,0.38,5.9,2,0,0.22,15.9,22.9,4,46,0.47,6.5,5,13,6,1
"2","198",0.154232300295846,5,0.18,0.44,0.38,5.7,1.5,0,0.3,18,24,3,38,0.6,5.4,6,12,8,1
"3","3",0,0,0.46,0.14,0.4,6.9,1.2,0,0.3,16,19,2,8,0.3,2.7,2,34,11,1
"3","206",0.158458532844119,1,0.14,0.54,0.32,6,1.6,0,0.2,20,27.5,3,40,0.4,7.1,6,14,3,1
"3","852",0.174326984958809,2,0.14,0.58,0.28,5.7,2.2,0,0.8,19.1,28.3,6,59,0.58,8.6,8,17,4,2
"3","1474",0.175816057313455,3,0.16,0.6,0.24,6.2,2.2,0,0.6,19.7,30.8,8,57,0.82,10.2,7,16,5,2
"3","389",0.176155382934238,4,0.18,0.52,0.3,6.2,2.5,0,0.4,23,28.8,2.7,55,0.5,5.3,9,12,9,1
"3","205",0.181265723363301,5,0.14,0.54,0.32,5.7,1.7,0,0.3,23,29.6,3,46,0.5,6.1,6,13,6,1
"4","4",0,0,0.28,0.24,0.48,6.8,2.3,0,0.3,19,23.4,3,15,0.4,4,3,36,14,1
"4","345",0.14498781021764,1,0.26,0.42,0.32,5.5,1.5,0,0.2,12,15.6,1,79,0.6,3,7,11,5,1
"4","1022",0.176869315689454,2,0.28,0.34,0.38,5.6,2.1,0,0.4,13.2,19.7,3,63,0.74,5.8,9,13,4,1
"4","553",0.179307321363838,3,0.28,0.4,0.32,5.7,2.1,0,0.37,15.5,20.9,6,69,0.44,5,5,23,5,2
"4","541",0.181570677243957,4,0.3,0.36,0.34,5.5,2.2,0,0.25,16.5,22.5,6,85,0.72,5.3,7,14,7,2
"4","671",0.182609785812792,5,0.34,0.38,0.28,5.7,1.5,0,0.32,13,20.1,4,54,0.55,6.5,5,10,6,2
"5","5",0,0,0.22,0.26,0.52,6.9,1.6,0,0.3,17,20.6,4,20,0.3,3.3,3,40,10,1
"5","143",0.80250667220394,1,0.24,0.38,0.38,5.9,2.8,0,0.5,23,30.8,4,64,1,6.8,19,34,6,2
"5","144",0.81104762590506,2,0.22,0.34,0.44,5.5,2.3,0,0.5,20,27.1,5,86,0.8,6.3,20,27,8,2
"5","394",0.812771720327395,3,0.16,0.6,0.26,5.3,3.5,0.3,0.4,16,22.5,3.7,96,0.4,5.8,15,9,26,1
"5","148",0.813926294827573,4,0.24,0.38,0.38,5.7,2.5,0,0.4,19,26.3,4,79,1.3,6,17,28,10,3
"5","393",0.818249036876319,5,0.12,0.62,0.26,5.3,3.6,0.3,0.4,22,29.2,4.8,99,0.5,6.4,14,12,19,1
"6","6",0,0,0.18,0.34,0.48,6.8,2.5,0,0.4,20,25.3,4,24,0.9,4.4,3,37,20,1
"6","210",0.17388506181452,1,0.2,0.46,0.34,5.9,1.8,0,0.3,19,25.5,2,41,0.7,5.8,6,10,6,1
"6","616",0.176814587515174,2,0.16,0.46,0.38,5.9,2,0,0.22,15.9,22.9,4,46,0.47,6.5,5,13,6,1
"6","211",0.178358943375544,3,0.2,0.46,0.34,5.7,1.7,0,0.2,18,24.7,2,41,0.57,6.1,5,14,5,1
"6","445",0.181480871637208,4,0.2,0.5,0.3,6,2.1,0,0.21,15.5,23.5,5,51,0.63,7.4,5,17,8,2
"6","200",0.181629876195649,5,0.14,0.46,0.4,6.4,1.5,0,0.3,17,22.5,3,37,0.3,5.2,4,18,3,1
"7","7",0,0,0.18,0.32,0.5,6.7,2.8,0,0.5,19,24.1,5,28,0.5,4.6,3,40,11,1
"7","616",0.120931065748214,1,0.16,0.46,0.38,5.9,2,0,0.22,15.9,22.9,4,46,0.47,6.5,5,13,6,1
"7","857",0.135111622248956,2,0.18,0.5,0.32,5.7,2.4,0,0.5,17.7,25.3,6,80,0.73,6.9,7,7,7,2
"7","619",0.149144542042273,3,0.12,0.5,0.38,5.8,1.9,0,0.21,15.6,22.4,4,51,0.55,6.2,5,13,6,2
"7","211",0.149809020516664,4,0.2,0.46,0.34,5.7,1.7,0,0.2,18,24.7,2,41,0.57,6.1,5,14,5,1
"7","210",0.155814913206239,5,0.2,0.46,0.34,5.9,1.8,0,0.3,19,25.5,2,41,0.7,5.8,6,10,6,1
"8","8",0,0,0.2,0.42,0.38,6.7,2.3,0,0.4,21,26.4,4,31,0.7,4.7,1,45,12,1
"8","993",0.225975980824882,1,0.12,0.6,0.28,6.3,3.9,0,0.7,22.6,29.9,6,78,0.69,6.6,4,21,15,1
"8","1101",0.245598459751243,2,0.16,0.58,0.26,5.6,3,0,0.5,17.5,26.1,6,62,0.63,8,5,17,5,1
"8","988",0.245817748159861,3,0.14,0.58,0.28,5.5,3.1,0,0.7,18.7,27.6,8,88,0.65,8.2,7,17,12,2
"8","709",0.246005566860988,4,0.16,0.64,0.2,5.7,4,0,0.33,17.7,25.9,7,69,0.46,7.7,6,9,7,2
"8","708",0.260172722183861,5,0.14,0.62,0.24,5.7,3.9,0,0.29,18,27.8,7,48,1.1,8.7,7,14,8,3
"9","9",0,0,0.16,0.46,0.38,6.7,3.2,0,0.4,23,29.1,5,31,0.7,5.4,3,41,11,1
"9","130",0.163703301434569,1,0.28,0.4,0.32,5.7,3.3,0,0.2,18,26.3,3,35,0.5,7.8,2,15,5,1
"9","1108",0.176680792281085,2,0.26,0.36,0.38,6.3,2.8,0,0.5,19,27.9,5,35,0.83,8.1,3,19,1.9,2
"9","1106",0.192499861557491,3,0.24,0.4,0.36,6,2.9,0,0.6,20.4,30,6,57,0.82,8.8,3,16,6,1
